LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,token_num,j2_mid_output,j2_ultra_output,j2_mid_template,j2_ultra_template
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>",175,"printFreezingDisplayLogs{app wtoken=AppWindowToken{token=Token{ActivityRecord{u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn={bool}, startingDisplayed={bool}, startingMoved={bool}, isRelaunching={bool}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","printFreezingDisplayLogsopening app wtoken={AppWindowToken}, allDrawn={bool}, startingDisplayed={bool}, startingMoved={bool}, isRelaunching={bool}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",128,"acquire lock={number}, flags={number}, tag=""View Lock"", name={string}, ws={null}, uid={number}, pid={number}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","acquire lock={number}, flags={hex}, tag=""View Lock"", name={string}, ws={object}, uid={number}, pid={number}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",151,"ready:{bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted:{bool}, boostinprogress:{bool}, waitmodeenable:{bool}, mode:{bool}, manual={number}, auto={number}, adj={number}, userId={number}'
The template of '{message}' is '{message}","ready={bool},policy={number},wakefulness={number},wksummary={number},uasummary={number},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number},userId={number}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",of '<*>' is '<*>,"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>"
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,144,"Skipping AppWindowToken{token=Token{ActivityRecord{u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",Skipping AppWindowToken{token=Token{activityRecord=ActivityRecord{u0=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t={number}}}} -- going to hide,"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",Skipping AppWindowToken{token=Token{activityRecord=ActivityRecord{u0=com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t=<*>}}} -- going to hide
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,E165,visible is <*>,96,"visible is:{bool}'
The template of 'updateClipping isOverlap:true, getTopPadding=500.0, Translation=-10.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}","visible is {string}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:false, getTopPadding:333.0, Translation:-19.0","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>","of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding:<*>, Translation:-<*>"
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,96,"{string}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",getValue={bool},"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",getValue=<*>
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,E165,visible is <*>,95,"visible is:{bool}, getTopPadding={number}'
The template of 'updateClipping isOverlap:true, getTopPadding=500.0, Translation=-10.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",visible is {bool},"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",visible is <*>
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,96,"{string}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",getValue={bool},"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",getValue=<*>
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,E166,visible is <*> gt <*>,99,visible is system.call.count gt 0,"visible is {bool} system.call.count gt {number}'
The template of 'visible is system.call.count gt 0' is 'visible is {bool} system.call.count gt {number}'",visible is system.call.count gt <*>,of 'visible is system.call.count gt <*>' is 'visible is <*> system.call.count gt <*>'
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,96,"{string}'
The template of 'updateClipping isOverlap:false, getTopPadding=333.0, Translation=-19.0' is 'updateClipping isOverlap:{bool}, getTopPadding={number}, Translation={number}",getValue={bool},"of 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=-<*>' is 'updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",getValue=<*>
