LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,token_num,j2_mid_output,j2_ultra_output,j2_mid_template,j2_ultra_template
1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E29,Created MRAppMaster for application <*>,102,"Created MRAppMaster for application {appattempt}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Created MRAppMaster for application {appattempt_id}_{appid}_{attempt_id}'
Could you please provide me with the log message you would like me to abstract?","Created MRAppMaster for application <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Created MRAppMaster for application <*>' Could you please provide me with the log message you would like me to abstract?
2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,E42,Executing with tokens:,88,Executing with tokens:,"Executing with tokens: {tokens}'
The template of 'Recalculating schedule, headroom=<memory:0, vCores:-27>' is 'Recalculating schedule, headroom=<memory:{memory}, vCores:{cores}>",Executing with tokens:,"of 'Recalculating schedule, headroom=<memory:<*>, vCores:-27>' is 'Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)",140,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: {app_id} cluster_timestamp: {cluster_timestamp} attemptId: {attempt_id} keyId: {key_id} } } }
{placeholders}","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: {app_id} cluster_timestamp: {timestamp} } attemptId: {attempt_id} } keyId: {key_id})","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> attemptId: <*> keyId: <*> } } } <*>","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)"
4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,E111,Using mapred newApiCommitter.,91,"Using mapred {api}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Using {committer}.'
The template of 'Recalculating schedule, headroom=<memory:0, vCores:-27>' is 'Recalculating schedule, headroom=<memory:{memory}, vCores:{core}","Using mapred <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>","of 'Recalculating schedule, headroom=<memory:<*>, vCores:-27>' is 'Recalculating schedule, headroom=<memory:<*>, vCores:<*>"
5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,E76,OutputCommitter set in config <*>,90,OutputCommitter set in config,OutputCommitter set in config {outputCommitter},OutputCommitter set in config,OutputCommitter set in config <*>
6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,100,"OutputCommitter is {name}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter'
The template of 'Input split: hdfs://nn1/user/hive/warehouse/table=my_table/part-00000-0' is 'Input split: hdfs://nn1/user/hive/warehouse/table={table}/part-00000-0'
The template of 'Input split: hdfs://nn1/user/hive/warehouse/table=my_table/part-00000-0' is 'Input split: hdfs://nn1/user/hive/warehouse/table={table}/part-00000-0'
The template of 'Input split: hdfs://nn1/user/hive/warehouse/table=my_table/part-00000-0' is 'Input split: hdfs://nn1/user/hive/warehouse/table={table}/","OutputCommitter is <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",of 'Input split: hdfs://nn1/user/hive/warehouse/table=my_table/part-<*>-<*>' is 'Input split: hdfs://nn1/user/hive/warehouse/table=<*>/part-<*>-<*>' The
7,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,109,"Registering class {className} for class {handlerClass}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Registering class {class} for class {handler}'
Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?","Registering class <*> for class <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Registering class <*> for class <*>' Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?
8,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,117,"Registering class {className} for class {parent}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Registering class {class} for class {dispatcher}'
Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?","Registering class <*> for class <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Registering class <*> for class <*>' Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?
9,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,117,"Registering class {className} for class {parent}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Registering class {class} for class {superclass}'
Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?","Registering class <*> for class <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Registering class <*> for class <*>' Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?
10,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,119,"Registering class {className} for class {parent}'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Registering class {class} for class {dispatcher}'
Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?","Registering class <*> for class <*>' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Registering class <*> for class <*>' Could you please provide me with the log message that you would like me to identify and abstract the dynamic variables from?
11,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,115,Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,"Registering class {class} for class {superclass}'
Could you please provide me with the log message you would like me to abstract?",Registering class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v2.app.commit.CommitterEventHandler,Registering class <*> for class <*>' Could you please provide me with the log message you would like me to abstract?
12,2015-10-18,"18:01:50,572",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,120,"Registering class org.apache.hadoop.mapreduce.v2.app.speculate.{className} for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher'
Recalculating schedule, headroom=<memory:{memory}, vCores:{core}>","Registering class {class_name} for class {dispatcher_class}'
Could you please provide me with the log message you would like me to abstract?","Registering class org.apache.hadoop.mapreduce.v2.app.speculate.<*> for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$SpeculatorEventDispatcher' Recalculating schedule, headroom=<memory:<*>, vCores:<*>",Registering class <*> for class <*>' Could you please provide me with the log message you would like me to abstract?
