LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate,token_num,j2_mid_output,j2_ultra_output,j2_mid_template,j2_ultra_template
1,2015-07-29,"17:41:44,747",INFO,QuorumPeer[myid=1]/0,0:0:0:0:0:0:0:2181:FastLeaderElection,774,Notification time out: 3200,E31,Notification time out: <*>,66,Time out: 3200,"Notification time out: {time_out}'
The template of 'Error connecting to host' is 'Error connecting to host",Time out: <*>,of 'Error connecting to host' is 'Error connecting to host
2,2015-07-29,"19:04:12,394",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:45307,E40,Received connection request <*>:<*>,76,"Received connection request from /{ip}:{port}'
""Received connection request from /{ip}:{port}""","Received connection request from {ip}:{port}'
The template of 'Error connecting to database. Reason: Connection refused' is 'Error connecting to database. Reason: Connection refused'
The template of 'Error connecting to database. Reason: Connection timeout' is 'Error connecting to database. Reason: Connection timeout'
The template of 'Error connecting to database. Reason: SQL logic error' is 'Error connecting to database. Reason: SQL logic error'
The template of 'Error connecting to database. Reason: SQL syntax
The template of 'Error connecting to database. Reason: SQL logic error' is 'Error connecting to database. Reason: SQL logic error","Received connection request from <*>' ""Received connection request from <*>",of 'Error connecting to database. Reason: Connection refused' is 'Error connecting to database. Reason: Connection refused' The
3,2015-07-29,"19:04:29,071",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,65,Worker left thread,Send worker leaving thread,Worker left thread,Send worker leaving thread
4,2015-07-29,"19:04:29,079",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,68,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
5,2015-07-29,"19:13:17,524",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,65,Worker left thread,Send worker leaving thread,Worker left thread,Send worker leaving thread
6,2015-07-29,"19:13:24,282",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",79,"Connection broken for id , my id = , error '
""Interrupted while waiting for message on queue {queue_name}""

""Connection broken for ID {id}, my ID = {my_id}, error = {error}""","Connection broken for {id}, my id = {my id}, error = {error}'
The template of 'Failed to process message, error =' is 'Failed to process message, error = {error}'
The template of 'Message arrived on queue' is 'Message arrived on queue'
Interrupted while waiting for message on queue
Message arrived on queue","Connection broken for id , my id = , error ' ""Interrupted while waiting for message on queue <*>"" ""Connection broken for ID <*>, my ID = <*>, error = <*>","of 'Failed to process message, error =' is 'Failed to process message, error = <*>' The"
7,2015-07-29,"19:13:24,370",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:57707,E40,Received connection request <*>:<*>,76,Received connection request from /10.10.34.13:57707,"Received connection request from {ip}:{port}'
The template of 'Error connecting to database. Reason: Connection refused' is 'Error connecting to database. Reason: Connection refused'
The template of 'Error connecting to database. Reason: Connection timeout' is 'Error connecting to database. Reason: Connection timeout'
The template of 'Error connecting to database. Reason: SQL logic error' is 'Error connecting to database. Reason: SQL logic error'
The template of 'Error connecting to database. Reason: SQL syntax
The template of 'Error connecting to database. Reason: SQL logic error' is 'Error connecting to database. Reason: SQL logic error'",Received connection request from <*>,of 'Error connecting to database. Reason: Connection refused' is 'Error connecting to database. Reason: Connection refused' The
8,2015-07-29,"19:13:27,721",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",79,"Connection broken for id , my id = , error '
""Interrupted while waiting for message on queue {queue_name}""

""Connection broken for ID {id}, my ID = {my_id}, error = {error}""","Connection broken for {id}, my id = {my id}, error = {error}'
The template of 'Failed to process message, error =' is 'Failed to process message, error = {error}'
The template of 'Message arrived on queue' is 'Message arrived on queue'
Interrupted while waiting for message on queue
Message arrived on queue","Connection broken for id , my id = , error ' ""Interrupted while waiting for message on queue <*>"" ""Connection broken for ID <*>, my ID = <*>, error = <*>","of 'Failed to process message, error =' is 'Failed to process message, error = <*>' The"
9,2015-07-29,"19:13:34,382",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue,68,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue,Interrupted while waiting for message on queue
10,2015-07-29,"19:13:37,626",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,65,Worker left thread,Send worker leaving thread,Worker left thread,Send worker leaving thread
11,2015-07-29,"19:13:44,301",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread,65,Worker left thread,Send worker leaving thread,Worker left thread,Send worker leaving thread
12,2015-07-29,"19:13:47,731",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,"Connection broken for id 188978561024, my id = 1, error =",E11,"Connection broken for id <*>, my id = <*>, error =",79,"Connection broken for id , my id = , error '
""Interrupted while waiting for message on queue {queue_name}""

""Connection broken for ID {id}, my ID = {my_id}, error = {error}""","Connection broken for {id}, my id = {my id}, error = {error}'
The template of 'Failed to process message, error =' is 'Failed to process message, error = {error}'
The template of 'Message arrived on queue' is 'Message arrived on queue'
Interrupted while waiting for message on queue
Message arrived on queue","Connection broken for id , my id = , error ' ""Interrupted while waiting for message on queue <*>"" ""Connection broken for ID <*>, my ID = <*>, error = <*>","of 'Failed to process message, error =' is 'Failed to process message, error = <*>' The"
