LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,03-17,16:13:38.811,1702,2395,D,WindowManager,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",E100,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>","printFreezingDisplayLogsopening app wtoken = AppWindowToken{token}, allDrawn={bool}, startingDisplayed = {bool}, startingMoved = {bool}, isRelaunching = {bool}",198,48,"printFreezingDisplayLogsopening app wtoken={AppWindowToken token=Token ActivityRecord u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}, allDrawn={bool}, startingDisplayed={bool}, startingMoved={bool}, isRelaunching={bool}.",202,72,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{token={}}, allDrawn={bool}, startingDisplayed = {bool}, startingMoved = {bool}, isRelaunching = {bool}",201,49,"printFreezingDisplayLogs opening app wtoken = AppWindowToken{token}, allDrawn= {boolean}, startingDisplayed =  {boolean}, startingMoved =  {boolean}, isRelaunching =  {boolean}",202,51,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{{token}}, allDrawn={boolean}, startingDisplayed = {boolean}, startingMoved = {boolean}, isRelaunching = {boolean}",199,51,"printFreezingDisplayLogsopening app wtoken = {string}, allDrawn = {boolean}, startingDisplayed = {boolean}, startingMoved = {boolean}, isRelaunching = {boolean}",199,49,"printFreezingDisplayLogsopening app wtoken = <*>, allDrawn=<*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>","printFreezingDisplayLogsopening app wtoken={AppWindowToken token=Token ActivityRecord u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}, allDrawn=<*>, startingDisplayed=<*>, startingMoved=<*>, isRelaunching=<*>.","printFreezingDisplayLogsopening app wtoken = AppWindowToken{token=<*>}, allDrawn=<*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>","printFreezingDisplayLogs opening app wtoken = <*>, allDrawn= <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>","printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*>}, allDrawn=<*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>","printFreezingDisplayLogsopening app wtoken = <*>, allDrawn = <*>, startingDisplayed = <*>, startingMoved = <*>, isRelaunching = <*>"
2,03-17,16:13:38.819,1702,8671,D,PowerManagerService,"acquire lock=233570404, flags=0x1, tag=""View Lock"", name=com.android.systemui, ws=null, uid=10037, pid=2227",E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>","acquire lock={number}, flags={hex}, tag={string}, name={string}, ws={string}, uid={number}, pid={number}",154,32,"acquire lock={int}, flags={int}, tag=""{string}"", name=""{string}"", ws={string}, uid={int}, pid={int}",159,32,"acquire lock={int}, flags={int}, tag={string}, name={string}, ws={string}, uid={int}, pid={int}",158,32,"acquire lock={number}, flags={number}, tag=""{string}"", name=""{string}"", ws={string}, uid={number}, pid={number}",159,32,"acquire lock={number}, flags={hex}, tag=""{string}"", name=""{string}"", ws=""{string}"", uid={number}, pid={number}",159,45,"acquire lock={long}, flags={int}, tag=""{string}"", name=""{string}"", ws={?}, uid={int}, pid={int}",159,43,"acquire lock=<*>, flags=<*>, tag=<*>, name=<*>, ws=<*>, uid=<*>, pid=<*>","acquire lock=<*>, flags=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>","acquire lock=<*>, flags=<*>, tag=<*>, name=<*>, ws=<*>, uid=<*>, pid=<*>","acquire lock=<*>, flags=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>","acquire lock=<*>, flags=<*>, tag=""<*>"", name=""<*>"", ws=""<*>"", uid=<*>, pid=<*>","acquire lock=<*>, flags=<*>, tag=""<*>"", name=""<*>"", ws={?}, uid=<*>, pid=<*>"
3,03-17,16:13:38.820,1702,8671,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x23,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E103,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>.0userId=<*>","ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number}userId={number}",172,66,"ready={bool}, policy={int}, wakefulness={int}, wksummary={hex}, uasummary={hex}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float} userId={int}",179,69,"ready={bool},policy={number},wakefulness={number},wksummary={hex},uasummary={hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number},userId={number}",178,68,"ready={bool}, policy={number}, wakefulness={number}, wksummary={number}, uasummary={number}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={number}, manual={number}, auto={number}, adj={number}, userId={number}",179,69,"ready={bool},policy={number},wakefulness={number},wksummary=0x{hex},uasummary=0x{hex},bootcompleted={bool},boostinprogress={bool},waitmodeenable={bool},mode={bool},manual={number},auto={number},adj={number},userId={number}",174,84,"ready={bool}, policy={int}, wakefulness={int}, wksummary={int}, uasummary={int}, bootcompleted={bool}, boostinprogress={bool}, waitmodeenable={bool}, mode={bool}, manual={int}, auto={int}, adj={float}, userId={int}",174,78,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*> userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>","ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>","ready=<*>, policy=<*>, wakefulness=<*>, wksummary=<*>, uasummary=<*>, bootcompleted=<*>, boostinprogress=<*>, waitmodeenable=<*>, mode=<*>, manual=<*>, auto=<*>, adj=<*>, userId=<*>"
4,03-17,16:13:38.839,1702,2113,V,WindowManager,Skipping AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}}} -- going to hide,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Skipping AppWindowToken{token={token}} -- going to hide,169,15,"Skipping AppWindowToken{token=Token{ActivityRecord{ActivityRecord{3b04890 u0 com.tencent.video.player.activity.PlayerActivity t761}}}}, going to hide",173,49,"Skipping AppWindowToken{token=Token{token}}, going to hide",172,17,Skipping AppWindowToken{id token=Token{id} ActivityRecord{id} u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t{id}} -- going to hide,173,53,Skipping AppWindowToken{token={string}} -- going to hide,169,16,AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}} -- going to hide,169,66,Skipping AppWindowToken{token=<*>} -- going to hide,"Skipping AppWindowToken{token=Token{ActivityRecord{<*>}}}, going to hide","Skipping AppWindowToken{token=<*>}, going to hide",Skipping AppWindowToken{id token=<*> <*> u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity <*>} -- going to hide,Skipping AppWindowToken{token=<*>} -- going to hide,AppWindowToken{df0798e token=Token{78af589 ActivityRecord{3b04890 u0 com.tencent.qt.qtl/com.tencent.video.player.activity.PlayerActivity t761}} -- going to hide
5,03-17,16:13:38.859,2227,2227,D,TextView,visible is system.time.showampm,E165,visible is <*>,visible is {string},110,6,"visible={bool}, showampm={bool}",115,11,visible is system.time.{ampm},114,11,visible is {string},115,6,visible is {string},112,6,visible is {boolean},112,6,visible is <*>,"visible=<*>, showampm=<*>",visible is system.time.<*>,visible is <*>,visible is <*>,visible is <*>
6,03-17,16:13:38.861,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,mVisiblity.getValue is {bool},110,12,mVisiblity.getValue={bool},115,11,mVisiblity.getValue is {bool},114,12,mVisibility.getValue is {boolean},115,9,mVisiblity.getValue is {bool},111,11,mVisiblity.getValue = {boolean},111,11,mVisiblity.getValue is <*>,mVisiblity.getValue=<*>,mVisiblity.getValue is <*>,mVisibility.getValue is <*>,mVisiblity.getValue is <*>,mVisiblity.getValue = <*>
7,03-17,16:13:38.869,2227,2227,D,TextView,visible is system.charge.show,E165,visible is <*>,visible is {string},108,6,"visible={bool}, charge={string}",113,9,visible is system.charge.show,112,8,visible is {string}.{string},113,9,visible is {string},110,6,visible is {system.charge.show},110,10,visible is <*>,"visible=<*>, charge=<*>",visible is system.charge.show,visible is <*>,visible is <*>,visible is <*>
8,03-17,16:13:38.871,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,mVisiblity.getValue is {bool},110,12,mVisiblity.getValue={bool},115,11,mVisiblity.getValue is {bool},114,12,mVisibility.getValue is {boolean},115,9,mVisiblity.getValue is {bool},111,11,mVisiblity.getValue = {boolean},111,11,mVisiblity.getValue is <*>,mVisiblity.getValue=<*>,mVisiblity.getValue is <*>,mVisibility.getValue is <*>,mVisiblity.getValue is <*>,mVisiblity.getValue = <*>
9,03-17,16:13:38.875,2227,2227,D,TextView,visible is system.call.count gt 0,E166,visible is <*> gt <*>,visible is {bool},112,6,visible is system.call.count.gt.0,117,12,visible is system.call.count gt {int},116,13,visible is {boolean},117,6,visible is system.call.count {operator} 0,114,14,visible is system.call.count > 0,114,12,visible is <*>,visible is system.call.count.gt.<*>,visible is system.call.count gt <*>,visible is <*>,visible is system.call.count <*> <*>,visible is system.call.count > <*>
10,03-17,16:13:38.877,2227,2227,D,TextView,mVisiblity.getValue is false,E82,mVisiblity.getValue is <*>,mVisiblity.getValue is {bool},110,12,mVisiblity.getValue={bool},115,11,mVisiblity.getValue is {bool},114,12,mVisibility.getValue is {boolean},115,9,mVisiblity.getValue is {bool},111,11,mVisiblity.getValue = {boolean},111,11,mVisiblity.getValue is <*>,mVisiblity.getValue=<*>,mVisiblity.getValue is <*>,mVisibility.getValue is <*>,mVisiblity.getValue is <*>,mVisiblity.getValue = <*>
