LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,-,1117838570,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.50.675872,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,instruction cache parity error corrected,76,8,Instruction Cache Parity Error Corrected,77,9,instruction cache parity error corrected,76,8,instruction cache parity error corrected,77,8,{core} instruction cache parity error corrected on core {core},73,14,instruction cache parity error corrected,73,8,instruction cache parity error corrected,Instruction Cache Parity Error Corrected,instruction cache parity error corrected,instruction cache parity error corrected,<*> instruction cache parity error corrected on core <*>,instruction cache parity error corrected
2,-,1117838573,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.42.53.276129,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,instruction cache parity error corrected,76,8,Instruction Cache Parity Error Corrected,77,9,instruction cache parity error corrected,76,8,instruction cache parity error corrected,77,8,{core} instruction cache parity error corrected on core {core},73,14,instruction cache parity error corrected,73,8,instruction cache parity error corrected,Instruction Cache Parity Error Corrected,instruction cache parity error corrected,instruction cache parity error corrected,<*> instruction cache parity error corrected on core <*>,instruction cache parity error corrected
3,-,1117838976,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.49.36.156884,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,instruction cache parity error corrected,76,8,Instruction Cache Parity Error Corrected,77,9,instruction cache parity error corrected,76,8,instruction cache parity error corrected,77,8,{core} instruction cache parity error corrected on core {core},73,14,instruction cache parity error corrected,73,8,instruction cache parity error corrected,Instruction Cache Parity Error Corrected,instruction cache parity error corrected,instruction cache parity error corrected,<*> instruction cache parity error corrected on core <*>,instruction cache parity error corrected
4,-,1117838978,2005.06.03,R02-M1-N0-C:J12-U11,2005-06-03-15.49.38.026704,R02-M1-N0-C:J12-U11,RAS,KERNEL,INFO,instruction cache parity error corrected,E77,instruction cache parity error corrected,instruction cache parity error corrected,76,8,Instruction Cache Parity Error Corrected,77,9,instruction cache parity error corrected,76,8,instruction cache parity error corrected,77,8,{core} instruction cache parity error corrected on core {core},73,14,instruction cache parity error corrected,73,8,instruction cache parity error corrected,Instruction Cache Parity Error Corrected,instruction cache parity error corrected,instruction cache parity error corrected,<*> instruction cache parity error corrected on core <*>,instruction cache parity error corrected
5,-,1117842440,2005.06.03,R23-M0-NE-C:J05-U01,2005-06-03-16.47.20.730545,R23-M0-NE-C:J05-U01,RAS,KERNEL,INFO,63543 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,63543 {double-hummer alignment exceptions},80,14,63543 double-hummer alignment exceptions,81,12,63543 double-hummer alignment exceptions,80,12,"X double-hummer alignment exceptions', where X is a placeholder for the number of double-hummer alignment exceptions.",81,25,{core_id} double-hummer alignment exceptions,78,13,{num_of_double_humm_alignment_exceptions} double-hummer alignment exceptions,78,23,<*> <*>,<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions,"X double-hummer alignment exceptions', where X is a placeholder for the number of double-hummer alignment exceptions.",<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions
6,-,1117842974,2005.06.03,R24-M0-N1-C:J13-U11,2005-06-03-16.56.14.254137,R24-M0-N1-C:J13-U11,RAS,KERNEL,INFO,162 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,{} double-hummer alignment exceptions,78,8,162 double-hummer alignment exceptions,79,10,162 double-hummer alignment exceptions,78,10,"X double-hummer alignment exceptions', where X can be any integer.",79,16,{number} double-hummer alignment exceptions,76,11,162 double-hummer alignment exceptions,76,11,<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions,"X double-hummer alignment exceptions', where X can be any integer.",<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions
7,-,1117843015,2005.06.03,R21-M1-N6-C:J08-U11,2005-06-03-16.56.55.309974,R21-M1-N6-C:J08-U11,RAS,KERNEL,INFO,141 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions,141 {alignment exceptions},78,9,141 double-hummer alignment exceptions,79,10,141 double-hummer alignment exceptions,78,10,141 {variable} alignment exceptions,79,9,{number} double-hummer alignment exceptions,76,11,{number} double-hummer alignment exceptions,76,11,<*> <*>,<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions,<*> <*> alignment exceptions,<*> double-hummer alignment exceptions,<*> double-hummer alignment exceptions
8,-,1117848119,2005.06.03,R16-M1-N2-C:J17-U01,2005-06-03-18.21.59.871925,R16-M1-N2-C:J17-U01,RAS,KERNEL,INFO,"CE sym 2, at 0x0b85eee0, mask 0x05",E18,"CE sym <*>, at <*>, mask <*>","CE sym {sym}, at 0x{addr}, mask 0x{mask}",92,20,"CE sym 2, at 0x0b85eee0, mask 0x05",93,24,"CE sym 2, at 0x0b85eee0, mask 0x05",92,24,"CE sym 2, at 0x{address}, mask 0x{mask}",93,20,"CE sym <sym>, at 0x<addr>, mask 0x<mask>",89,22,"{sym}, at {addr}, mask {mask}",89,14,"CE sym <*>, at <*>, mask <*>","CE sym <*>, at 0x0b85eee0, mask 0x05","CE sym <*>, at 0x0b85eee0, mask 0x05","CE sym <*>, at <*>, mask <*>","CE sym <sym>, at 0x<addr>, mask 0x<mask>","<*>, at <*>, mask <*>"
9,APPREAD,1117869872,2005.06.04,R04-M1-N4-I:J18-U11,2005-06-04-00.24.32.432192,R04-M1-N4-I:J18-U11,RAS,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>,ciod: failed to read message prefix on control stream (CioStream socket to {host}:{port},106,24,ciod: failed to read message prefix on control stream (CioStream socket to <ip_address>:<port>).,107,27,ciod: failed to read message prefix on control stream (CioStream socket to {ip_address}:{port},106,26,cio: failed to read message prefix on control stream (CioStream socket to <ip>:<port>,107,23,ciod: failed to read message prefix on control stream (CioStream socket to {ip}:{port}),104,25,ciod: failed to read message prefix on control stream (CioStream socket to <host>:<port>),104,25,ciod: failed to read message prefix on control stream (CioStream socket to <*>,ciod: failed to read message prefix on control stream (CioStream socket to <ip_address>:<port>).,ciod: failed to read message prefix on control stream (CioStream socket to <*>,cio: failed to read message prefix on control stream (CioStream socket to <ip>:<port>,ciod: failed to read message prefix on control stream (CioStream socket to <*>),ciod: failed to read message prefix on control stream (CioStream socket to <host>:<port>)
10,APPREAD,1117869876,2005.06.04,R27-M1-N4-I:J18-U01,2005-06-04-00.24.36.222560,R27-M1-N4-I:J18-U01,RAS,APP,FATAL,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,E33,ciod: failed to read message prefix on control stream (CioStream socket to <*>,ciod: failed to read message prefix on control stream (CioStream socket to {host}:{port},106,24,ciod: failed to read message prefix on control stream (CioStream socket to <ip address>:<port>).,107,26,"ciod: failed to read message prefix on control stream (CioStream socket to {ip}:{port}')

The template of 'Error: {error}' is 'Error: {error}",106,43,cio: failed to read message prefix on control stream (CioStream socket to {IP}:{PORT}),107,23,ciod: failed to read message prefix on control stream (CioStream socket to {ip}:{port},104,24,{message},104,4,ciod: failed to read message prefix on control stream (CioStream socket to <*>,ciod: failed to read message prefix on control stream (CioStream socket to <ip address>:<port>).,ciod: failed to read message prefix on control stream (CioStream socket to <*>') The template of 'Error: <*>' is 'Error: <*>,cio: failed to read message prefix on control stream (CioStream socket to <*>),ciod: failed to read message prefix on control stream (CioStream socket to <*>,<*>
