LineId,Date,Time,Pid,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,81109,203615,148,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_38865049064139660 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,132,16,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,133,16,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,132,17,PacketResponder {responder} for block {block} terminating,132,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
2,81109,203807,222,INFO,dfs.DataNode$PacketResponder,PacketResponder 0 for block blk_-6952295868487656571 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,137,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,137,16,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
3,81109,204005,35,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.73.220:50010 is added to blk_7128370237687728475 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {component}.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},171,31,BLOCK* {name} is added to blk_{hash} size {size},174,20,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},173,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},174,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{block} size {size},171,33,BLOCK* {blockName}.{methodName}: {targetIp} {targetPort} {sourceIp} {sourcePort} {size} is added to {block},171,37,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>: <*> <*> <*> <*> <*> is added to <*>
4,81109,204015,308,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_8229193803249955061 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,135,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
5,81109,204106,329,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_-6670958622368987959 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,137,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,137,16,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
6,81109,204132,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.43.115:50010 is added to blk_3050920587428079149 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {system}.addStoredBlock: blockMap updated: {host}:{port} is added to {block} size {size},171,31,BLOCK* {name}NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{size},174,33,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip} is added to {block} size {size},173,29,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},174,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{blockId} size {size},171,34,BLOCK* {event} nameSystem.addStoredBlock: blockMap updated: {host}:{port} is added to {block} size {size},171,34,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> nameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
7,81109,204324,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.203.80:50010 is added to blk_7888946331804732825 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {nameSystem} addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},171,32,BLOCK* {name}NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{size},174,33,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip_address} is added to {block} size {size},173,31,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},174,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{blockId} size {size},171,34,BLOCK* {name}.{method}: {host}:{port} {params} is added to {size} size {bytes},171,29,BLOCK* <*> addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>: <*> <*> is added to <*> size <*>
8,81109,204453,34,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.85:50010 is added to blk_2377150260128098806 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {module}.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},170,31,BLOCK* {name} System.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{size},173,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip_address}:{port} is added to {block} size {size},172,34,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},173,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{blockId} size {size},170,34,BLOCK* {blockType} NameSystem.addStoredBlock: blockMap updated: {ipAddress}:{port} is added to {blockName} size {size},170,37,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> System.addStoredBlock: blockMap updated: <*> is added to <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*> NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>
9,81109,204525,512,INFO,dfs.DataNode$PacketResponder,PacketResponder 2 for block blk_572492839287299681 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,133,16,PacketResponder {responder} for block {block} terminating,135,16,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,135,16,PacketResponder {responder} for block {block} terminating,133,17,PacketResponder {responder} for block {block} terminating,133,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
10,81109,204655,556,INFO,dfs.DataNode$PacketResponder,Received block blk_3587508140051953248 of size 67108864 from /10.251.42.84,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},151,15,Received block {size} bytes from {ip_address},153,13,Received block {block} of size {size} from {source},152,15,Received block {block} of size {size} from {ip},153,15,Received block {block} of size {size} from {address},152,16,Received block {block} of size {size} from {host},152,16,Received block <*> of size <*> from <*>,Received block <*> bytes from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
11,81109,204722,567,INFO,dfs.DataNode$PacketResponder,Received block blk_5402003568334525940 of size 67108864 from /10.251.214.112,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},153,15,Received block {size} from {source}.,155,10,Received block {block} of size {size} from {address},154,15,Received block {block} of size {size} from {sender},155,15,Received block {block} of size {size} from {ip},154,16,Received block {block} of size {size} from {source},154,16,Received block <*> of size <*> from <*>,Received block <*> from <*>.,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
12,81109,204815,653,INFO,dfs.DataNode$DataXceiver,Receiving block blk_5792489080791696128 src: /10.251.30.6:33145 dest: /10.251.30.6:50010,E13,Receiving block <*> src: <*> dest: <*>,Receiving block {block} src: {src} dest: {dest},168,18,Receiving block {src} src: {dest} dest: {dest_port},169,19,Receiving block {block} src: {src} dest: {dest},168,17,Receiving block {block} src: {src} dest: {dest},169,17,Receiving block {block} src: {src} dest: {dest},167,17,Receiving block {block} src: {src} dest: {dest},167,17,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>
13,81109,204842,663,INFO,dfs.DataNode$DataXceiver,Receiving block blk_1724757848743533110 src: /10.251.111.130:49851 dest: /10.251.111.130:50010,E13,Receiving block <*> src: <*> dest: <*>,Receiving block {block} src: {src} dest: {dest},174,18,Receiving block {src} from {dest},175,11,Receiving block {block} src: {src} dest: {dest},174,17,Receiving block {block} src: {src} dest: {dest},175,17,Receiving block {block} src: {src} dest: {dest},173,17,Receiving block {block} src: {src} dest: {dest},173,17,Receiving block <*> src: <*> dest: <*>,Receiving block <*> from <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>
14,81109,204908,31,INFO,dfs.FSNamesystem,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.110.8:50010 is added to blk_8015913224713045110 size 67108864,E6,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* {system}.addStoredBlock: blockMap updated: {host}:{port} is added to {block} size {size},170,31,BLOCK* {storedBlock}NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{size},173,35,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip} is added to {block} size {size},172,29,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},173,32,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to blk_{block} size {size},170,33,BLOCK* {name}.addStoredBlock: {map} updated: {addr}:{port} is added to {blk} size {size},170,34,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>.addStoredBlock: blockMap updated: <*> is added to <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,BLOCK* <*>.addStoredBlock: <*> updated: <*> is added to <*> size <*>
15,81109,204925,673,INFO,dfs.DataNode$DataXceiver,Receiving block blk_-5623176793330377570 src: /10.251.75.228:53725 dest: /10.251.75.228:50010,E13,Receiving block <*> src: <*> dest: <*>,Receiving block {block} src: {src} dest: {dest},172,18,Receiving block {src} src: {dest} dest: {dest_port},174,19,Receiving block {block} src: {src} dest: {dest},173,17,Receiving block {block} src: {src} dest: {dest},174,17,Receiving block {block} src: {src} dest: {dest},171,17,Receiving block {block} from {src_ip}:{src_port} to {dest_ip}:{dest_port},171,29,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> src: <*> dest: <*>,Receiving block <*> from <*> to <*>
16,81109,205035,28,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100,E7,BLOCK* NameSystem.allocateBlock: <*> <*>,"BLOCK* NameSystem.allocateBlock: {path}'

The template of 'BLOCK* NameNode.createBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100' is 'BLOCK* NameNode.createBlock: {path}'

The template of 'BLOCK* NameNode.createBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. blk_-1727475099218615100' is 'BLOCK* NameNode.createBlock: {path}'

The template of 'BLOCK* NameNode.createBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_",182,256,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000590_0/part-00590. {blk},187,65,BLOCK* {fs} {name} {size},186,13,BLOCK* NameSystem.allocateBlock: {path},187,14,BLOCK* NameSystem.allocateBlock: {path} blk_{block},181,17,BLOCK* {blockName} NameSystem.allocateBlock: {path} blk_{blockId},181,22,BLOCK* NameSystem.allocateBlock: <*>' The template of 'BLOCK* NameNode.createBlock: <*> blk_-<*>' is 'BLOCK* NameNode.createBlock: <*>' The template of 'BLOCK* NameNode.createBlock: <*> blk_-<*>' is 'BLOCK* NameNode.createBlock: <*>' The template of 'BLOCK* NameNode.createBlock: <*>,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* <*> <*> <*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*> <*>,BLOCK* <*> NameSystem.allocateBlock: <*> <*>
17,81109,205056,710,INFO,dfs.DataNode$PacketResponder,PacketResponder 1 for block blk_5017373558217225674 terminating,E10,PacketResponder <*> for block <*> terminating,PacketResponder {responder} for block {block} terminating,134,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,135,16,PacketResponder {responder} for block {block} terminating,136,16,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder {responder} for block {block} terminating,134,17,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating,PacketResponder <*> for block <*> terminating
18,81109,205157,752,INFO,dfs.DataNode$PacketResponder,Received block blk_9212264480425680329 of size 67108864 from /10.251.123.1,E11,Received block <*> of size <*> from <*>,Received block {block} of size {size} from {source},151,15,Received block {size} bytes from {ip},153,11,Received block {block} of size {size} from {source},152,15,Received block {block} of size {size} from {sender},153,15,Received block {block} of size {size} from {from},152,16,Received block {block} of size {size} from {srcIpAddr}:{srcPort},152,22,Received block <*> of size <*> from <*>,Received block <*> bytes from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>,Received block <*> of size <*> from <*>
19,81109,205315,29,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. blk_-7878121102358435702,E7,BLOCK* NameSystem.allocateBlock: <*> <*>,"BLOCK* NameSystem.allocateBlock: {path}'

The template of 'ApplicationMaster: Fetching commitUserTxns from datanode 10.0.0.17:50010 with rpcId=1635618743986' is 'ApplicationMaster: Fetching commitUserTxns from datanode {datanode} with rpcId={rpcId}'

The template of 'ApplicationMaster: Fetching commitUserTxns from datanode 10.0.0.17:50010 with rpcId=1635618743986' is 'ApplicationMaster: Fetching commitUserTxns from datanode {datanode} with rpcId={rpcId}'

The template of 'ApplicationMaster: Fetching commitUserTxns from datanode 10.0.0.17:50010 with rpcId=1635618743986' is 'ApplicationMaster: Fetching commitUserTxns from datanode {datanode}",182,256,BLOCK* {name} System.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000742_0/part-00742. {blk_number},187,69,BLOCK NameSystem.allocateBlock: {block},186,13,BLOCK* NameSystem.allocateBlock: {path},187,14,BLOCK* NameSystem.allocateBlock: /user/{user}/rand/_temporary/_task_{taskid}_{attemptid}/part-{partition}-{file},181,35,BLOCK* {block} NameSystem.allocateBlock: {file} blk_{blk_id},181,23,BLOCK* NameSystem.allocateBlock: <*>' The template of 'ApplicationMaster: Fetching commitUserTxns from datanode <*> with rpcId=<*>' is 'ApplicationMaster: Fetching commitUserTxns from datanode <*> with rpcId=<*>' The template of 'ApplicationMaster: Fetching commitUserTxns from datanode <*> with rpcId=<*>' is 'ApplicationMaster: Fetching commitUserTxns from datanode <*> with rpcId=<*>' The template of 'ApplicationMaster: Fetching commitUserTxns from datanode <*> with rpcId=<*>' is 'ApplicationMaster: Fetching commitUserTxns from datanode <*>,BLOCK* <*> System.allocateBlock: <*> <*>,BLOCK NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* NameSystem.allocateBlock: <*>,BLOCK* <*> NameSystem.allocateBlock: <*> <*>
