LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,2015-10-18,"18:01:47,978",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E29,Created MRAppMaster for application <*>,Created MRAppMaster for application {application},130,10,Created MRAppMaster for application <appname>,131,11,Created MRAppMaster for application appattempt:{applicationId}.,130,14,Created MRAppMaster for application <app>{appId},131,13,Created MRAppMaster for application {appId},128,11,Created MRAppMaster for application <appname>:<appid>,128,15,Created MRAppMaster for application <*>,Created MRAppMaster for application <appname>,Created MRAppMaster for application appattempt:<*>.,Created MRAppMaster for application <*>,Created MRAppMaster for application <*>,Created MRAppMaster for application <appname>:<appid>
2,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Executing with tokens:,E42,Executing with tokens:,Executing with tokens:,99,6,"Executing with tokens: <token1>, <token2>...",100,15,"Executing with tokens: {token_1}, {token_2}, ...",99,17,Executing with tokens: <tokens>,100,10,Executing with tokens: {tokens},97,9,"Executing with tokens: <tokens>, <token-type>:<value>",97,18,Executing with tokens:,"Executing with tokens: <token1>, <token2>...","Executing with tokens: <*>, <*>, ...",Executing with tokens: <tokens>,Executing with tokens: <*>,"Executing with tokens: <tokens>, <token-type>:<value>"
3,2015-10-18,"18:01:48,963",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: 20 cluster_timestamp: 1445144423722 } attemptId: 1 } keyId: -127633188)",E61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: {app_id} cluster_timestamp: {timestamp} } attemptId: {attempt_id} } keyId: {key_id})",165,61,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: <application_id>-<attempt_id>{key_id}:{cluster_timestamp}",168,41,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: {id} cluster_timestamp: {timestamp} } attemptId: {attemptId} } keyId: {keyId}",167,59,"Kind: <kind>, Service: <service>, Ident: (appAttemptId { application_id { id: <application_id> cluster_timestamp: <cluster_timestamp> } attemptId: <attemptId> } keyId: <keyId>)",168,56,"Kind: {kind}, Service: {service}, Ident: (appAttemptId { application_id { id: {application_id} cluster_timestamp: {cluster_timestamp} } attemptId: {attempt_id} } keyId: {key_id})",164,61,"Kind: {kind}, Service: {service}, Ident: ({ident})",164,19,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)","Kind: YARN_AM_RM_TOKEN, Service: , Ident: <application_id>-<*>","Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>","Kind: <kind>, Service: <service>, Ident: (appAttemptId { application_id { id: <application_id> cluster_timestamp: <cluster_timestamp> } attemptId: <attemptId> } keyId: <keyId>)","Kind: <*>, Service: <*>, Ident: (appAttemptId { application_id { id: <*> cluster_timestamp: <*> } attemptId: <*> } keyId: <*>)","Kind: <*>, Service: <*>, Ident: (<*>)"
4,2015-10-18,"18:01:49,228",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Using mapred newApiCommitter.,E111,Using mapred newApiCommitter.,"Using mapred newApiCommitter.'

The template of 'Failed to register the node <node> with the namenode' is 'Failed to register the node {node} with the namenode",102,44,Using mapred newApiCommitter.,104,10,"Using mapred {api}.'

The template of 'INFO: Cache loader completed 0 hits and 1 misses.' is 'INFO: Cache loader completed {hits} hits and {misses} misses.",103,48,Using <mapred> newApiCommitter.,104,12,Using mapred newApiCommitter.,101,10,Using mapred newApiCommitter.,101,10,Using mapred newApiCommitter.' The template of 'Failed to register the node <node> with the namenode' is 'Failed to register the node <*> with the namenode,Using mapred newApiCommitter.,Using mapred <*>.' The template of 'INFO: Cache loader completed <*> hits and <*> misses.' is 'INFO: Cache loader completed <*> hits and <*> misses.,Using <mapred> newApiCommitter.,Using mapred newApiCommitter.,Using mapred newApiCommitter.
5,2015-10-18,"18:01:50,353",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter set in config null,E76,OutputCommitter set in config <*>,OutputCommitter set in config {commit},102,10,OutputCommitter set in config null,104,9,OutputCommitter set in config {null},103,11,OutputCommitter set in config <output_committer>,104,14,OutputCommitter set in config {outputCommitter},100,12,"OutputCommitter set in config <outputcommitter>.'

If you need to add more information in the template, please append it after 'OutputCommitter set in config null",100,40,OutputCommitter set in config <*>,OutputCommitter set in config <*>,OutputCommitter set in config <*>,OutputCommitter set in config <output_committer>,OutputCommitter set in config <*>,"OutputCommitter set in config <outputcommitter>.' If you need to add more information in the template, please append it after 'OutputCommitter set in config <*>"
6,2015-10-18,"18:01:50,509",INFO,main,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,E75,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter,OutputCommitter is {committer},116,9,OutputCommitter is org.apache.hadoop.{package}.{classname},119,19,OutputCommitter is {org}.{package}.{class},118,15,OutputCommitter is <classname>{org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter},119,29,OutputCommitter is {committer},114,9,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.{committer},114,22,OutputCommitter is <*>,OutputCommitter is org.apache.hadoop.<*>,OutputCommitter is <*>,OutputCommitter is <*>,OutputCommitter is <*>,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.<*>
7,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class1} for class {class2},129,14,Registering class {class_name} for class {handler_class},131,16,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,130,36,Registering class <class> for class <handler>,131,12,Registering class {class} for class {handler},127,12,Registering class <class-name> for class <event-type>,127,16,Registering class <*> for class <*>,Registering class <*> for class <*>,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler,Registering class <class> for class <handler>,Registering class <*> for class <*>,Registering class <class-name> for class <event-type>
8,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class1} for class {class2},143,14,Registering class <className> for event type <eventType>,143,14,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,142,48,Registering class <class_name> for class <class_type>,143,16,Registering class <class name> for class <another class name>,141,15,Registering class <classname> for class <classname>,141,14,Registering class <*> for class <*>,Registering class <className> for event type <eventType>,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$JobEventDispatcher,Registering class <class_name> for class <class_type>,Registering class <class name> for class <another class name>,Registering class <classname> for class <classname>
9,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class} for class {class},143,12,Registering class <class> for event <event>,143,12,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,142,48,Registering class <classname> for class <dispatcher>,143,14,Registering class {class} for class {class},141,12,Registering class <class_name> for class <class_name>,141,16,Registering class <*> for class <*>,Registering class <class> for event <event>,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class <classname> for class <dispatcher>,Registering class <*> for class <*>,Registering class <class_name> for class <class_name>
10,2015-10-18,"18:01:50,556",INFO,main,org.apache.hadoop.yarn.event.AsyncDispatcher,Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskAttemptEventDispatcher,E89,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>,Registering class {class} for class {dispatcher},147,13,Registering class {class} for class {className},147,12,Registering class {class_name} for class {dispatcher_name},146,17,Registering class <type> for class <class>,147,12,Registering class <class name> for class <class name>,145,14,Registering class <class_name> for class <class_name>,145,16,Registering class <*> for class <*>,Registering class <*> for class <*>,Registering class <*> for class <*>,Registering class <type> for class <class>,Registering class <class name> for class <class name>,Registering class <class_name> for class <class_name>
