LineId,Date,Day,Time,Component,Pid,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,Dec,10,06:55:46,LabSZ,24200,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for {domain} [ip] failed - POSSIBLE BREAK-IN ATTEMPT!,133,29,reverse mapping checking getaddrinfo for {domain} [{ip}] failed - POSSIBLE BREAK-IN ATTEMPT!,139,31,reverse mapping checking getaddrinfo for {ip} [ip address] failed - POSSIBLE BREAK-IN ATTEMPT!,138,31,reverse mapping checking getaddrinfo for {host} [{ip}] failed - POSSIBLE BREAK-IN ATTEMPT!,139,30,reverse mapping checking getaddrinfo for {hostname} [{ip}] failed - POSSIBLE BREAK-IN ATTEMPT!,132,30,reverse mapping checking getaddrinfo for {hostname} [{ip}] failed - POSSIBLE BREAK-IN ATTEMPT!,132,30,reverse mapping checking getaddrinfo for <*> [ip] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [ip address] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
2,Dec,10,06:55:46,LabSZ,24200,Invalid user webmaster from 173.234.31.186,E13,Invalid user <*> from <*>,Invalid user {user} from {ip},105,10,Invalid user {username} from {ip_address},110,12,Invalid user {user} from {ipaddress},109,11,Invalid user {user} from {IP},110,10,Invalid user {user} from {ip},105,10,Invalid user {user} from {remote_addr},105,12,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>
3,Dec,10,06:55:46,LabSZ,24200,input_userauth_request: invalid user webmaster [preauth],E12,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user {user} [preauth],100,17,input_userauth_request: invalid user {username} [preauth],105,17,input_userauth_request: invalid user {user} [preauth],104,17,input_userauth_request: invalid user {user} [preauth],105,17,input_userauth_request: invalid user {user} [preauth],101,19,input_userauth_request: invalid user {user} [preauth],101,19,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth]
4,Dec,10,06:55:46,LabSZ,24200,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user {user} unknown,102,21,pam_unix(sshd:auth): check pass; user unknown,105,16,pam_unix({service}:{stage}:{user}:{host}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:,104,256,pam_unix(sshd:{action}): {result}; user {user},105,19,pam_unix({service}({module}):{action}: {status}; user {unknown|known},101,25,pam_unix(sshd:auth): check pass; {user} unknown,101,20,pam_unix(sshd:auth): check pass; user <*> unknown,pam_unix(sshd:auth): check pass; user unknown,pam_unix(<*>:,pam_unix(sshd:<*>): <*>; user <*>,pam_unix(<*>(<*>):<*>: <*>; user {unknown|known},pam_unix(sshd:auth): check pass; <*> unknown
5,Dec,10,06:55:46,LabSZ,24200,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=173.234.31.186,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,pam_unix(sshd:auth): authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost},135,43,pam_unix(sshd:auth): authentication failure; logname= {username} uid=0 euid=0 tty=ssh ruser={ruser} rhost={rhost},138,44,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= {ruser} rhost= {rhost},137,43,pam_unix(sshd:{service}): {type} failure; logname={logname} uid={uid} euid={euid} tty={tty} ruser={ruser} rhost={rhost},138,51,pam_unix({module}({service}):{event}): {message},134,20,pam_unix(sshd:auth): authentication failure; logname= {logname} uid= {uid} euid= {euid} tty={tty} ruser={ruser} rhost={rhost},134,53,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,pam_unix(sshd:auth): authentication failure; logname= <*> uid=<*> euid=<*> tty=ssh ruser=<*> rhost=<*>,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= <*> rhost= <*>,pam_unix(sshd:<*>): <*> failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>,pam_unix(<*>(<*>):<*>): <*>,pam_unix(sshd:auth): authentication failure; logname= <*> uid= <*> euid= <*> tty=<*> ruser=<*> rhost=<*>
6,Dec,10,06:55:48,LabSZ,24200,Failed password for invalid user webmaster from 173.234.31.186 port 38926 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user {user} from {ip} port {port} ssh2,118,20,Failed password for invalid user {username} from {ip} port {port} ssh2,122,19,Failed password for {user} from {ip} port {port} {protocol},121,18,Failed password for {user} from {ip} port {port} ssh2,122,17,Failed password for invalid user {user} from {ip} port {port} ssh2,117,20,Failed password for invalid user {user} from {hostname} port {port} ssh2,117,21,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for <*> from <*> port <*> <*>,Failed password for <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
7,Dec,10,06:55:48,LabSZ,24200,Connection closed by 173.234.31.186 [preauth],E2,Connection closed by <*> [preauth],Connection closed by {ip} [preauth],107,11,Connection closed by {ip_address} [preauth],112,13,Connection closed by {ip} [preauth],111,11,Connection closed by {ip_address} [preauth],112,13,Connection closed by {clientip} [preauth],107,13,Connection closed by {client_ip} [{reason}],107,14,Connection closed by <*> [preauth],Connection closed by <*> [preauth],Connection closed by <*> [preauth],Connection closed by <*> [preauth],Connection closed by <*> [preauth],Connection closed by <*> [<*>]
8,Dec,10,07:02:47,LabSZ,24203,Connection closed by 212.47.254.145 [preauth],E2,Connection closed by <*> [preauth],Connection closed by {ip} [preauth],107,11,Connection closed by {ip_address} [preauth],112,13,Connection closed by {ip} [preauth],111,11,Connection closed by {IP_address} [preauth],112,13,Connection closed by {clientip} [preauth],107,13,Connection closed by {host} [preauth],107,12,Connection closed by <*> [preauth],Connection closed by <*> [preauth],Connection closed by <*> [preauth],Connection closed by <*> [preauth],Connection closed by <*> [preauth],Connection closed by <*> [preauth]
9,Dec,10,07:07:38,LabSZ,24206,Invalid user test9 from 52.80.34.196,E13,Invalid user <*> from <*>,Invalid user {user} from {ip},103,10,Invalid user {username} from {ip_address},108,12,Invalid user {user} from {ip},107,10,Invalid user {user} from {ip},108,10,Invalid user {user} from {ip},103,10,Invalid user {user} from {ip},103,10,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>
10,Dec,10,07:07:38,LabSZ,24206,input_userauth_request: invalid user test9 [preauth],E12,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user {user} [preauth],100,17,input_userauth_request: invalid user {user} [preauth],105,17,input_userauth_request: invalid user {user} [preauth],104,17,input_userauth_request: invalid user {user} [preauth],105,17,input_userauth_request: invalid user {user} [preauth],101,19,input_userauth_request: invalid user {user} [preauth],101,19,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth]
11,Dec,10,07:07:38,LabSZ,24206,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user {user} unknown,102,21,pam_unix(sshd:auth): check pass; user unknown,105,16,pam_unix({service}:{stage}:{user}:{host}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:,104,256,pam_unix(sshd:{action}): {result}; user {user},105,19,pam_unix({service}({module}):{action}: {status}; user {unknown|known},101,25,pam_unix(sshd:auth): check pass; {user} unknown,101,20,pam_unix(sshd:auth): check pass; user <*> unknown,pam_unix(sshd:auth): check pass; user unknown,pam_unix(<*>:,pam_unix(sshd:<*>): <*>; user <*>,pam_unix(<*>(<*>):<*>: <*>; user {unknown|known},pam_unix(sshd:auth): check pass; <*> unknown
12,Dec,10,07:07:38,LabSZ,24206,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,E19,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,pam_unix(sshd:auth): authentication failure; logname= uid={uid} euid={euid} tty={tty} ruser= rhost={rhost},151,43,Authentication failure; logname=uid=0 euid=0 tty=ssh ruser=rhost={ip},155,26,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost={ipaddress},154,38,pam_unix(sshd:auth): authentication failure; logname={logname} uid={uid} euid={euid} tty={tty} ruser={ruser} rhost={rhost},155,48,pam_unix({service}({module}):{action}): {message},150,20,{logname}=: authentication failure; logname={logname} uid={uid} euid={euid} tty={tty} ruser={ruser} rhost={rhost},150,44,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser= rhost=<*>,Authentication failure; logname=uid=<*> euid=<*> tty=ssh ruser=rhost=<*>,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>,pam_unix(sshd:auth): authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>,pam_unix(<*>(<*>):<*>): <*>,<*>=: authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*>
13,Dec,10,07:07:45,LabSZ,24206,Failed password for invalid user test9 from 52.80.34.196 port 36060 ssh2,E10,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user {user} from {ip} port {port} ssh2,116,20,Failed password for invalid user {username} from {ip_address} port {port} ssh2,120,21,Failed password for {user} from {ip} port {port} {protocol},119,18,Failed password for {user} from {ip} port {port} ssh2,120,17,Failed password for invalid user {user} from {ip} port {port} ssh2,115,20,Failed password for invalid user {user} from {addr} port {port} ssh2,115,20,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for <*> from <*> port <*> <*>,Failed password for <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
14,Dec,10,07:07:45,LabSZ,24206,Received disconnect from 52.80.34.196: 11: Bye Bye [preauth],E24,Received disconnect from <*>: <*>: Bye Bye [preauth],Received disconnect from {host}: 11: Bye Bye [preauth],115,20,Received disconnect from {ip_address}: {port} [preauth],120,17,Received disconnect from {ip}: {reason} [preauth],119,15,Received disconnect from {ip}: {port}: {message} [preauth],120,18,Received disconnect from {ip}: 11: {message} [preauth],115,20,Received disconnect from {host}: {reason} [{auth}],115,16,Received disconnect from <*>: <*>: Bye Bye [preauth],Received disconnect from <*>: <*> [preauth],Received disconnect from <*>: <*> [preauth],Received disconnect from <*>: <*>: <*> [preauth],Received disconnect from <*>: <*>: <*> [preauth],Received disconnect from <*>: <*> [<*>]
15,Dec,10,07:08:28,LabSZ,24208,reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [173.234.31.186] failed - POSSIBLE BREAK-IN ATTEMPT!,E27,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for {domain} [ip] failed - POSSIBLE BREAK-IN ATTEMPT!,133,29,reverse mapping checking getaddrinfo for {domain} [{ip}] failed - POSSIBLE BREAK-IN ATTEMPT!,139,31,reverse mapping checking getaddrinfo for {ip} [ip address] failed - POSSIBLE BREAK-IN ATTEMPT!,138,31,reverse mapping checking getaddrinfo for {host} [{ip}] failed - POSSIBLE BREAK-IN ATTEMPT!,139,30,reverse mapping checking getaddrinfo for {hostname} [{ip}] failed - POSSIBLE BREAK-IN ATTEMPT!,132,30,reverse mapping checking getaddrinfo for {hostname} [{ip}] failed - POSSIBLE BREAK-IN ATTEMPT!,132,30,reverse mapping checking getaddrinfo for <*> [ip] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [ip address] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
16,Dec,10,07:08:28,LabSZ,24208,Invalid user webmaster from 173.234.31.186,E13,Invalid user <*> from <*>,Invalid user {user} from {ip},105,10,Invalid user {username} from {ip_address},110,12,Invalid user {user} from {ipaddress},109,11,Invalid user {user} from {IP},110,10,Invalid user {user} from {ip},105,10,Invalid user {user} from {remote_addr},105,12,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>,Invalid user <*> from <*>
17,Dec,10,07:08:28,LabSZ,24208,input_userauth_request: invalid user webmaster [preauth],E12,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user {user} [preauth],100,17,input_userauth_request: invalid user {username} [preauth],105,17,input_userauth_request: invalid user {user} [preauth],104,17,input_userauth_request: invalid user {user} [preauth],105,17,input_userauth_request: invalid user {user} [preauth],101,19,input_userauth_request: invalid user {user} [preauth],101,19,input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth],input_userauth_request: invalid user <*> [preauth]
18,Dec,10,07:08:28,LabSZ,24208,pam_unix(sshd:auth): check pass; user unknown,E21,pam_unix(sshd:auth): check pass; user unknown,pam_unix(sshd:auth): check pass; user {user} unknown,102,21,pam_unix(sshd:auth): check pass; user unknown,105,16,pam_unix({service}:{stage}:{user}:{host}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:{service}:{stage}:{user}:{host}:{port}:{user}:{host}:{port}:,104,256,pam_unix(sshd:{action}): {result}; user {user},105,19,pam_unix({service}({module}):{action}: {status}; user {unknown|known},101,25,pam_unix(sshd:auth): check pass; {user} unknown,101,20,pam_unix(sshd:auth): check pass; user <*> unknown,pam_unix(sshd:auth): check pass; user unknown,pam_unix(<*>:,pam_unix(sshd:<*>): <*>; user <*>,pam_unix(<*>(<*>):<*>: <*>; user {unknown|known},pam_unix(sshd:auth): check pass; <*> unknown
