LineId,Logrecord,Date,Time,Pid,Level,Component,ADDR,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:00.008,25746,INFO,nova.osapi_compute.wsgi.server,req-38101a0b-2096-447d-96ea-a692162415ae 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>","{{ip_address}} ""GET {{endpoint}}"" status: {{status}} len: {{len}} time: {{time}}",239,27,"10.11.10.1 ""GET /v2/{endpoint}"" status: {status} len: {len} time: {time}",240,34,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",239,26,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2477829",240,81,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{<*>} ""GET {<*>}"" status: {<*>} len: {<*>} time: {<*>}","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>"
2,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:00.272,25746,INFO,nova.osapi_compute.wsgi.server,req-9bc36dd9-91c5-4314-898a-47625eb93b09 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2577181",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2577181",239,81,"10.11.10.1 ""GET /v2/{endpoint}"" status: {status} len: {len} time: {time}",240,34,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",239,26,"{""GET"": ""/v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail"", ""HTTP/1.1"": 200, ""len"": 1893, ""time"": 0.2577181}",240,77,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","{""GET"": ""<*>"", ""HTTP/1.<*>"": <*>, ""len"": <*>, ""time"": <*>}","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>"
3,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:01.551,25746,INFO,nova.osapi_compute.wsgi.server,req-55db2d8d-cdb7-4b4b-993b-429be84c0c3e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2731631",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>","10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2731631",239,81,"10.11.10.1 ""GET {endpoint}"" status: {status} len: {len} time: {time}",240,31,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2731631",239,81,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2731631",240,81,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>"
4,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:01.813,25746,INFO,nova.osapi_compute.wsgi.server,req-2a3dc421-6604-42a7-9390-a18dc824d5d6 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>","{{ip_address}} ""GET {endpoint}"" status: {status} len: {len} time: {time}",239,26,"{{ip_address}} ""GET {{endpoint}}"" status: {{status}} len: {{len}} time: {{time}}",240,27,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249",239,81,"{""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1""} status: {""status"": 200, ""len"": 1893, ""time"": 0.2580249}",240,79,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{<*>} ""GET <*>"" status: <*> len: <*> time: <*>","{<*>} ""GET {<*>}"" status: {<*>} len: {<*>} time: {<*>}","<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","{""GET <*> HTTP/1.<*>""} status: {""status"": <*>, ""len"": <*>, ""time"": <*>}","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>"
5,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:03.091,25746,INFO,nova.osapi_compute.wsgi.server,req-939eb332-c1c1-4e67-99b8-8695f8f1980a 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2727931",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>","{{ip_address}} ""GET {endpoint}"" status: {status} len: {len} time: {time}",239,26,"10.11.10.1 ""GET /v2/{endpoint}"" status: {status} len: {len} time: {time}",240,34,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2727931",239,81,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2727931",240,81,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{<*>} ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>"
6,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:03.358,25746,INFO,nova.osapi_compute.wsgi.server,req-b6a4fa91-7414-432a-b725-52b5613d3ca3 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2642131",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>","{{ip_address}} ""GET {endpoint}"" status: {status} len: {len} time: {time}",239,26,"10.11.10.1 ""GET /v2/{endpoint}"" status: {status} len: {len} time: {time}",240,34,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",239,26,,240,1,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{<*>} ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>",,"<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>"
7,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.500,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Started (Lifecycle Event),E22,[instance: <*>] VM Started (Lifecycle Event),VM Started (Lifecycle Event),202,9,Instance [instance:] started (Lifecycle Event),204,11,[instance: {instance_id}] {event} (Lifecycle Event),203,17,[{instance}] VM Started (Lifecycle Event),204,12,[{vm_id}] VM Started (Lifecycle Event),203,13,VM {instance} Lifecycle Event: {event},203,12,VM Started (Lifecycle Event),Instance [instance:] started (Lifecycle Event),[instance: <*>] <*> (Lifecycle Event),[<*>] VM Started (Lifecycle Event),[<*>] VM Started (Lifecycle Event),VM <*> Lifecycle Event: <*>
8,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.562,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] VM Paused (Lifecycle Event),E20,[instance: <*>] VM Paused (Lifecycle Event),VM Paused (Lifecycle Event),203,10,Instance: {instance_id},204,8,[instance: {instance_id}] {event},203,12,[{instance}] {message},204,7,[instance: {uuid}] {event_name} ({lifecycle_event}),204,19,[instance: {instance}] {event},204,10,VM Paused (Lifecycle Event),Instance: <*>,[instance: <*>] <*>,[<*>] <*>,[instance: <*>] <*> (<*>),[instance: <*>] <*>
9,nova-compute.log.1.2017-05-16_13:55:31,2017-05-16,00:00:04.693,2931,INFO,nova.compute.manager,req-3ea4052c-895d-4b64-9e2d-04d64c4d94ab - - - - -,[instance: b9000564-fe1a-409b-b8cc-1e88b294cd1d] During sync_power_state the instance has a pending task (spawning). Skip.,E7,[instance: <*>] During sync_power_state the instance has a pending task (spawning). Skip.,"During sync_power_state the instance has a pending task (spawning). Skip.'

The template of '2018-03-27 15:10:43.418 27918 WARNING oslo_messaging.rpc.server [-] [req-15754124-451f-478b-805b-716240363693 - - - -] Exception during message delivery: (paste.transmission_failed, Unable to send message to 10.10.10.10:11443) (f904f91-878e-451f-9847-9368e7824145)' is 'Exception during message delivery: (paste.transmission_failed, Unable to send message to {ip_address}:{port}) ({message_id})'
""""""
import re
from collections import defaultdict
from typing import List
from itertools import chain
from pprint import pprint
import",213,256,"Instance: {instance}, During sync_power_state the instance has a pending task ({pending_task})",216,24,[instance: {instance_id}] During {task_name} the instance has a pending task ({task_type}). Skip.,215,29,[{instance}] {message},216,7,[{instance}] During {task} the instance has a pending task ({pending}). Skip.,217,21,[instance: {instance}] During sync_power_state the instance has a pending task ({task}). Skip.,217,26,"During sync_power_state the instance has a pending task (spawning). Skip.' The template of '<*>-<*>-<*> <*> <*> WARNING oslo_messaging.rpc.server [-] [req-<*>-451f-478b-805b-<*> - - - -] Exception during message delivery: (paste.transmission_failed, Unable to send message to <*>) (f904f91-878e-451f-<*>-9368e7824145)' is 'Exception during message delivery: (paste.transmission_failed, Unable to send message to <*>) (<*>)' """""" import re from collections import defaultdict from typing import List from itertools import chain from pprint import pprint import","Instance: <*>, During sync_power_state the instance has a pending task (<*>)",[instance: <*>] During <*> the instance has a pending task (<*>). Skip.,[<*>] <*>,[<*>] During <*> the instance has a pending task (<*>). Skip.,[instance: <*>] During sync_power_state the instance has a pending task (<*>). Skip.
10,nova-api.log.1.2017-05-16_13:53:08,2017-05-16,00:00:04.789,25746,INFO,nova.osapi_compute.wsgi.server,req-bbfc3fb8-7cb3-4ac8-801e-c893d1082762 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4256971",E25,"<*> ""GET <*>"" status: <*> len: <*> time: <*>","{{ip_address}} ""GET {endpoint}"" status: {status} len: {len} time: {time}",239,26,"{} ""GET {} HTTP/1.1"" status: {} len: {} time: {}",240,20,"10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.4256971",239,81,"{""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1""} status: 200 len: 1893 time: 0.4256971",240,71,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{ip_address} ""GET {endpoint}"" status: {status} len: {len} time: {time}",241,26,"{<*>} ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","<*> ""GET <*> HTTP/1.<*>"" status: <*> len: <*> time: <*>","{""GET <*> HTTP/1.<*>""} status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>","<*> ""GET <*>"" status: <*> len: <*> time: <*>"
