LineId,Time,Program,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
2,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
3,10.30 16:49:06,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
4,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",165,40,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:01",166,38,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime {time}",165,35,"{} close, {} sent, {} received, lifetime {}",166,12,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",161,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",161,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
5,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
6,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
7,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
8,10.30 16:49:07,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 403 bytes sent, 426 bytes received, lifetime <1 sec",E8,"<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime <1 sec",166,40,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime <1 sec",167,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",166,25,"proxy.cse.cuhk.edu.hk:5070 close, {sent_size} sent, {received_size} received, lifetime {time}",167,40,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",162,24,"{host} close, {sent_size} sent, {received_size} received, lifetime {time}",162,24,"proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <1 sec","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <1 sec","<*> close, <*> sent, <*> received, lifetime <*>","proxy.cse.cuhk.edu.hk:<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>","<*> close, <*> sent, <*> received, lifetime <*>"
9,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
10,10.30 16:49:07,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E2,<*> open through proxy <*> HTTPS,open through proxy {host} HTTPS,169,9,{host} open through proxy {proxy} protocol {protocol},170,14,{host} open through proxy {proxy_host} HTTPS,169,14,open through proxy {host} HTTPS,170,9,{host}:{port} open through proxy {through_host}:{through_port} {protocol},164,23,{host}:{protocol} through proxy {proxy_host}:{proxy_port} {protocol} {url},164,25,open through proxy <*> HTTPS,<*> open through proxy <*> protocol <*>,<*> open through proxy <*> HTTPS,open through proxy <*> HTTPS,<*> open through proxy <*> <*>,<*> through proxy <*> <*> <*>
