LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,17/06/09,20:10:40,INFO,executor.CoarseGrainedExecutorBackend,"Registered signal handlers for [TERM, HUP, INT]",E22,"Registered signal handlers for [TERM, HUP, INT]",Registered signal handlers for [{signals}],85,11,"Registered signal handlers for [TERM, HUP, INT]",85,15,"Registered signal handlers for [SIGNAL_1, SIGNAL_2, SIGNAL_3]",84,25,Registered signal handlers for [{signals}],85,10,Registered signal handlers for [{signals}],83,12,"Registered signal handlers for [{signal1}, {signal2}, {signal3}]",83,22,Registered signal handlers for [<*>],"Registered signal handlers for [TERM, HUP, INT]","Registered signal handlers for [SIGNAL_1, SIGNAL_2, SIGNAL_3]",Registered signal handlers for [<*>],Registered signal handlers for [<*>],"Registered signal handlers for [<*>, <*>, <*>]"
2,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,Changing view acls to: {view_acls},82,14,Changing view acls to {acls},83,11,"Changing view acls to: {view},{acls}",82,15,Changing view acls to: {acls},83,12,Changing view acls to: {acl},80,11,Changing view acls to: {acls},80,12,Changing view acls to: <*>,Changing view acls to <*>,"Changing view acls to: <*>,<*>",Changing view acls to: <*>,Changing view acls to: <*>,Changing view acls to: <*>
3,17/06/09,20:10:40,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,"Changing modify acls to: {value1}, {value2}",82,16,Changing modify acls to {acls},83,11,Changing modify acls to: {acls},82,12,Changing modify acls to: {acls},83,12,Changing modify acls to: {acls},80,12,Changing modify acls to: {acls},80,12,"Changing modify acls to: <*>, <*>",Changing modify acls to <*>,Changing modify acls to: <*>,Changing modify acls to: <*>,Changing modify acls to: <*>,Changing modify acls to: <*>
4,17/06/09,20:10:40,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",SecurityManager: authentication disabled; ui acls disabled; users with view permissions: {view}; users with modify permissions: {modify},106,29,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({user1}, {user2}); users with modify permissions: Set({user3}, {user4})",107,40,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({{view_users}}); users with modify permissions: Set({{modify_users}}).,106,39,SecurityManager: authentication {authentication}; ui acls {ui_acls}; users with view permissions: Set({view_users}); users with modify permissions: Set({modify_users}),107,40,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({user_1}); users with modify permissions: Set({user_2}),105,35,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: {users_with_view_permissions}; users with modify permissions: {users_with_modify_permissions},105,43,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: <*>; users with modify permissions: <*>,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>, <*>); users with modify permissions: Set(<*>, <*>)",SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({<*>}); users with modify permissions: Set({<*>}).,SecurityManager: authentication <*>; ui acls <*>; users with view permissions: Set(<*>); users with modify permissions: Set(<*>),SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>),SecurityManager: authentication disabled; ui acls disabled; users with view permissions: <*>; users with modify permissions: <*>
5,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing view acls to: yarn,curi",E5,Changing view acls to: <*>,Changing view acls to: {view_acls},82,14,Changing view acls to {acls},83,11,"Changing view acls to: {view},{acls}",82,15,Changing view acls to: {acls},83,12,Changing view acls to: {acl},80,11,Changing view acls to: {acls},80,12,Changing view acls to: <*>,Changing view acls to <*>,"Changing view acls to: <*>,<*>",Changing view acls to: <*>,Changing view acls to: <*>,Changing view acls to: <*>
6,17/06/09,20:10:41,INFO,spark.SecurityManager,"Changing modify acls to: yarn,curi",E4,Changing modify acls to: <*>,"Changing modify acls to: {value1}, {value2}",82,16,Changing modify acls to {acls},83,11,Changing modify acls to: {acls},82,12,Changing modify acls to: {acls},83,12,Changing modify acls to: {acls},80,12,Changing modify acls to: {acls},80,12,"Changing modify acls to: <*>, <*>",Changing modify acls to <*>,Changing modify acls to: <*>,Changing modify acls to: <*>,Changing modify acls to: <*>,Changing modify acls to: <*>
7,17/06/09,20:10:41,INFO,spark.SecurityManager,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",E26,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)",SecurityManager: authentication disabled; ui acls disabled; users with view permissions: {view}; users with modify permissions: {modify},106,29,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({user1}, {user2}); users with modify permissions: Set({user3}, {user4})",107,40,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({{view_users}}); users with modify permissions: Set({{modify_users}}).,106,39,SecurityManager: authentication {authentication}; ui acls {ui_acls}; users with view permissions: Set({view_users}); users with modify permissions: Set({modify_users}),107,40,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({user_1}); users with modify permissions: Set({user_2}),105,35,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: {users_with_view_permissions}; users with modify permissions: {users_with_modify_permissions},105,43,SecurityManager: authentication disabled; ui acls disabled; users with view permissions: <*>; users with modify permissions: <*>,"SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>, <*>); users with modify permissions: Set(<*>, <*>)",SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set({<*>}); users with modify permissions: Set({<*>}).,SecurityManager: authentication <*>; ui acls <*>; users with view permissions: Set(<*>); users with modify permissions: Set(<*>),SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(<*>); users with modify permissions: Set(<*>),SecurityManager: authentication disabled; ui acls disabled; users with view permissions: <*>; users with modify permissions: <*>
8,17/06/09,20:10:41,INFO,slf4j.Slf4jLogger,Slf4jLogger started,E28,Slf4jLogger started,Slf4jLogger {logger} started,76,10,Slf4jLogger started,77,7,Slf4jLogger started {level},76,10,Slf4jLogger started,77,7,{class_name} started,75,8,{logger} started,75,6,Slf4jLogger <*> started,Slf4jLogger started,Slf4jLogger started <*>,Slf4jLogger started,<*> started,<*> started
9,17/06/09,20:10:41,INFO,Remoting,Starting remoting,E31,Starting remoting,Starting remoting,74,5,Starting remoting,75,5,Starting remoting {remote},74,8,Starting remoting,75,5,Starting remoting,73,6,Starting remoting for {hostName} on port {portNumber},73,16,Starting remoting,Starting remoting,Starting remoting <*>,Starting remoting,Starting remoting,Starting remoting for <*> on port <*>
10,17/06/09,20:10:41,INFO,Remoting,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904],E23,Remoting started; listening on addresses :[<*>],Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@{host}:{port}],104,26,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904].,106,36,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@{host}:{port}],105,26,Remoting started; listening on addresses :[{addresses}],106,13,Remoting started; listening on addresses :[{addresses}],103,13,Remoting started; listening on addresses :[akka.tcp://{systemName}/user/{actorName}],103,26,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@<*>],Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-<*>].,Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@<*>],Remoting started; listening on addresses :[<*>],Remoting started; listening on addresses :[<*>],Remoting started; listening on addresses :[akka.tcp://<*>/user/<*>]
