LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,Nous_Mixtral_output,Nous_Mixtral_prompt_token_num,Nous_Mixtral_completion_tokens_num,Nous_llama7b_output,Nous_llama7b_prompt_token_num,Nous_llama7b_completion_tokens_num,Nous_llama13b_output,Nous_llama13b_prompt_token_num,Nous_llama13b_completion_tokens_num,Nous_llama70b_output,Nous_llama70b_prompt_token_num,Nous_llama70b_completion_tokens_num,Yi_34B_output,Yi_34B_prompt_token_num,Yi_34B_completion_tokens_num,Yi_6B_output,Yi_6B_prompt_token_num,Yi_6B_completion_tokens_num,Nous_Mixtral_template,Nous_llama7b_template,Nous_llama13b_template,Nous_llama70b_template,Yi_34B_template,Yi_6B_template
1,2016-09-28,04:30:30,Info,CBS,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,E23,Loaded Servicing Stack <*> with Core: <*>.dll,Loaded Servicing Stack v{version} with Core: {core},168,15,Loaded Servicing Stack v6.1.7601.23505 with Core: [insert path here],168,28,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,167,94,Loaded Servicing Stack v{version} with Core: {path},168,15,Loaded Servicing Stack v{packageVersion} with Core: {packagePath},167,17,Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,167,94,Loaded Servicing Stack <*> with Core: <*>,Loaded Servicing Stack v6.<*> with Core: [insert path here],Loaded Servicing Stack v6.<*> with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.<*>.23505_none_681aa442f6fed7f0\cbscore.dll,Loaded Servicing Stack <*> with Core: <*>,Loaded Servicing Stack <*> with Core: <*>,Loaded Servicing Stack v6.<*> with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.<*>.23505_none_681aa442f6fed7f0\cbscore.dll
2,2016-09-28,04:30:31,Info,CSI,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),E13,<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),WcpInitialize (wcp.dll version {version}) called (stack {stack}),189,20,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x[0-9a-f]{32} @0x[0-9a-f]{32} @0x[0-9a-f]{32} @0x[0-9a-f]{32} @0x[0-9a-f]{32} @0x[0-9a-f]{32}).,194,139,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),193,121,00000001@{date}:{time} {module} ({version}) called (stack @{stack_addresses}),194,32,00000001@{timestamp}:{time}:{time}.{microseconds} {message},189,27,00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),189,116,WcpInitialize (wcp.dll version <*>) called (stack <*>),<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @0x[<*>-9a-f]<*> @0x[<*>-9a-f]<*> @0x[<*>-9a-f]<*> @0x[<*>-9a-f]<*> @0x[<*>-9a-f]<*> @0x[<*>-9a-f]<*>).,<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),<*>@<*> <*> (<*>) called (stack @<*>),<*>@<*> <*>,<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f)
3,2016-09-28,04:30:31,Info,CSI,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),E13,<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),WcpInitialize (wcp.dll version {version}) called (stack {stack}),192,20,WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x{stack_address} @0x{stack_address} @0x{stack_address} @0x{stack_address} @0x{stack_address} @0x{stack_address}).,196,71,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),195,123,00000002@{date}:{time} {module}(version {version}) called ({stack}).,196,28,00000002@%Y/%m/%d:%H:%M:%S.%L %s (%s version %s) called (stack @0x%p @0x%p @0x%p @0x%p @0x%p @0x%p),192,67,00000002@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),192,119,WcpInitialize (wcp.dll version <*>) called (stack <*>),WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>).,<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799),<*>@<*> <*>(version <*>) called (<*>).,<*>@%Y/%m/%d:%H:%M:%S.%L %s (%s version %s) called (stack @0x%p @0x%p @0x%p @0x%p @0x%p @0x%p),<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @0x7fed806eb5d @0x7fefa006ade @0x7fef9fd2984 @0x7fef9f83665 @0xff83e97c @0xff83d799)
4,2016-09-28,04:30:31,Info,CSI,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),E13,<*>@<*>/<*>/<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*>),WcpInitialize (wcp.dll version {version}) called (stack @{stack0} @{stack1} @{stack2} @{stack3} @{stack4} @{stack5}),189,47,WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x{0x7fed806eb5d} @0x{0x7fefa1c8728} @0x{0x7fefa1c8856} @0x{0xff83e474} @0x{0xff83d7de} @0x{0xff83db2f}).,194,113,00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),193,121,00000003@{date}:{time} {function} ({module} version {version}) called (stack @{address} @{address} @{address} @{address} @{address} @{address}),194,53,{00000003@2016/9/27:20:30:31.458 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x{address} @0x{address} @0x{address} @0x{address} @0x{address} @0x{address})},189,91,{packageExtendedAttribute},189,7,WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>),WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>).,<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @0x7fed806eb5d @0x7fefa1c8728 @0x7fefa1c8856 @0xff83e474 @0xff83d7de @0xff83db2f),<*>@<*> <*> (<*> version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>),{<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>)},<*>
5,2016-09-28,04:30:31,Info,CBS,Ending TrustedInstaller initialization.,E17,Ending TrustedInstaller initialization.,Ending {init} initialization.,81,8,Ending TrustedInstaller initialization.,82,9,Ending TrustedInstaller initialization.,81,9,Ending TrustedInstaller initialization.,82,9,Ending TrustedInstaller initialization.,83,10,Ending TrustedInstaller initialization.,83,10,Ending <*> initialization.,Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.,Ending TrustedInstaller initialization.
6,2016-09-28,04:30:31,Info,CBS,Starting the TrustedInstaller main loop.,E44,Starting the TrustedInstaller main loop.,Starting the {process} main loop.,83,10,Starting the TrustedInstaller main loop.,84,11,Starting the TrustedInstaller main loop.,83,11,Starting the TrustedInstaller main loop.,84,11,Starting the {processName} main loop.,85,12,Starting the TrustedInstaller main loop.,85,12,Starting the <*> main loop.,Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.,Starting the TrustedInstaller main loop.,Starting the <*> main loop.,Starting the TrustedInstaller main loop.
7,2016-09-28,04:30:31,Info,CBS,TrustedInstaller service starts successfully.,E48,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,81,9,TrustedInstaller service starts successfully.,82,9,TrustedInstaller service starts successfully.,81,9,TrustedInstaller service starts successfully.,82,9,TrustedInstaller service starts successfully.,83,10,TrustedInstaller service starts successfully.,83,10,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.,TrustedInstaller service starts successfully.
8,2016-09-28,04:30:31,Info,CBS,SQM: Initializing online with Windows opt-in: False,E40,SQM: Initializing online with Windows opt-in: <*>,SQM: Initializing online with Windows opt-in: {opt-in},88,19,SQM: Initializing online with Windows opt-in: False,89,15,"SQM: Initializing online with Windows opt-in: {opt_in}.'

The template of '2021-05-31 14:30:28.796000000 -0700' is '2021-05-31 14:30:28.796000000 -0700",88,97,SQM: Initializing online with Windows opt-in: {opt_in}.,89,20,SQM: Initializing online with Windows opt-in: {0},88,16,{message},88,4,SQM: Initializing online with Windows opt-in: <*>,SQM: Initializing online with Windows opt-in: <*>,SQM: Initializing online with Windows opt-in: <*>.' The template of '<*>-<*>-<*> <*> -<*>' is '<*>-<*>-<*> <*> -<*>,SQM: Initializing online with Windows opt-in: <*>.,SQM: Initializing online with Windows opt-in: <*>,<*>
9,2016-09-28,04:30:31,Info,CBS,SQM: Cleaning up report files older than 10 days.,E37,SQM: Cleaning up report files older than <*> days.,SQM: Cleaning up report files older than {days} days.,89,17,SQM: Cleaning up report files older than 10 days.,91,18,SQM: Cleaning up report files older than 10 days.,90,18,SQM: Cleaning up report files older than {days}.,91,17,SQM: Cleaning up report files older than {days} days.,89,16,SQM: Cleaning up report files older than 10 days.,89,16,SQM: Cleaning up report files older than <*> days.,SQM: Cleaning up report files older than <*> days.,SQM: Cleaning up report files older than <*> days.,SQM: Cleaning up report files older than <*>.,SQM: Cleaning up report files older than <*> days.,SQM: Cleaning up report files older than <*> days.
10,2016-09-28,04:30:31,Info,CBS,SQM: Requesting upload of all unsent reports.,E42,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.,86,14,SQM: Requesting upload of all unsent reports.,87,14,SQM: Requesting upload of all unsent reports.,86,14,SQM: Requesting upload of all unsent reports.,87,14,SQM: Requesting upload of all unsent reports.,87,14,SQM: Requesting upload of all unsent reports.,87,14,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.,SQM: Requesting upload of all unsent reports.
