--------------------------Start MOEAD optimization--------------------------
A new study created in memory with name: algs_para_setting
Trial 2 finished with value: 1.0111557078423892 and parameters: {'weight_generation': 'grid', 'decomposition': 'weighted', 'neighbours': 15}. Best is trial 2 with value: 1.0111557078423892.
Trial 2 finished with best value: 1.0111557078423892 and parameters: {'weight_generation': 'grid', 'decomposition': 'weighted', 'neighbours': 15}. 
Trial 1 finished with value: 1.8207745309005532 and parameters: {'weight_generation': 'grid', 'decomposition': 'bi', 'neighbours': 29}. Best is trial 2 with value: 1.0111557078423892.
Trial 10 finished with value: 1.5929289488683829 and parameters: {'weight_generation': 'low discrepancy', 'decomposition': 'bi', 'neighbours': 23}. Best is trial 2 with value: 1.0111557078423892.
Trial 3 finished with value: 1.7726220887978112 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 25}. Best is trial 2 with value: 1.0111557078423892.
Trial 9 finished with value: 2.363776746236767 and parameters: {'weight_generation': 'grid', 'decomposition': 'weighted', 'neighbours': 26}. Best is trial 2 with value: 1.0111557078423892.
Trial 12 finished with value: 2.1637910575122876 and parameters: {'weight_generation': 'low discrepancy', 'decomposition': 'weighted', 'neighbours': 10}. Best is trial 2 with value: 1.0111557078423892.
Trial 11 finished with value: 1.2634338478572378 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 21}. Best is trial 2 with value: 1.0111557078423892.
Trial 4 finished with value: 2.3798772768289918 and parameters: {'weight_generation': 'grid', 'decomposition': 'tchebycheff', 'neighbours': 21}. Best is trial 2 with value: 1.0111557078423892.
Trial 7 finished with value: 1.7154094630110441 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 10}. Best is trial 2 with value: 1.0111557078423892.
Trial 8 finished with value: 1.7675298123376149 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 17}. Best is trial 2 with value: 1.0111557078423892.
Trial 0 finished with value: 0.9733455505832918 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 29}. Best is trial 0 with value: 0.9733455505832918.
Trial 0 finished with best value: 0.9733455505832918 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 29}. 
Trial 15 finished with value: 1.3373219710793962 and parameters: {'weight_generation': 'grid', 'decomposition': 'bi', 'neighbours': 15}. Best is trial 0 with value: 0.9733455505832918.
Trial 5 finished with value: 1.1489240282768618 and parameters: {'weight_generation': 'grid', 'decomposition': 'bi', 'neighbours': 13}. Best is trial 0 with value: 0.9733455505832918.
Trial 13 finished with value: 1.329181166226238 and parameters: {'weight_generation': 'grid', 'decomposition': 'weighted', 'neighbours': 12}. Best is trial 0 with value: 0.9733455505832918.
Trial 6 finished with value: 2.4831292915309784 and parameters: {'weight_generation': 'random', 'decomposition': 'tchebycheff', 'neighbours': 30}. Best is trial 0 with value: 0.9733455505832918.
Trial 14 finished with value: 1.2962106759252203 and parameters: {'weight_generation': 'low discrepancy', 'decomposition': 'tchebycheff', 'neighbours': 24}. Best is trial 0 with value: 0.9733455505832918.
Trial 16 finished with value: 2.3700247071122478 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 23}. Best is trial 0 with value: 0.9733455505832918.
Trial 18 finished with value: 1.1520227637804552 and parameters: {'weight_generation': 'grid', 'decomposition': 'weighted', 'neighbours': 26}. Best is trial 0 with value: 0.9733455505832918.
Trial 19 finished with value: 1.6354208683970337 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 24}. Best is trial 0 with value: 0.9733455505832918.
Trial 22 finished with value: 0.5418694070168476 and parameters: {'weight_generation': 'low discrepancy', 'decomposition': 'weighted', 'neighbours': 21}. Best is trial 22 with value: 0.5418694070168476.
Trial 22 finished with best value: 0.5418694070168476 and parameters: {'weight_generation': 'low discrepancy', 'decomposition': 'weighted', 'neighbours': 21}. 
Trial 17 finished with value: 1.897478783746236 and parameters: {'weight_generation': 'low discrepancy', 'decomposition': 'bi', 'neighbours': 14}. Best is trial 22 with value: 0.5418694070168476.
Trial 21 finished with value: 0.7495637180183787 and parameters: {'weight_generation': 'grid', 'decomposition': 'tchebycheff', 'neighbours': 11}. Best is trial 22 with value: 0.5418694070168476.
Trial 23 finished with value: 0.855268880301601 and parameters: {'weight_generation': 'low discrepancy', 'decomposition': 'weighted', 'neighbours': 10}. Best is trial 22 with value: 0.5418694070168476.
Trial 20 finished with value: 1.3328618333108224 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 20}. Best is trial 22 with value: 0.5418694070168476.
Trial 28 finished with value: 1.4996471059919825 and parameters: {'weight_generation': 'random', 'decomposition': 'tchebycheff', 'neighbours': 18}. Best is trial 22 with value: 0.5418694070168476.
Trial 24 finished with value: 1.3015975973084464 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 20}. Best is trial 22 with value: 0.5418694070168476.
Trial 29 finished with value: 0.684018518719926 and parameters: {'weight_generation': 'random', 'decomposition': 'tchebycheff', 'neighbours': 18}. Best is trial 22 with value: 0.5418694070168476.
Trial 30 finished with value: 1.7101480468589598 and parameters: {'weight_generation': 'low discrepancy', 'decomposition': 'weighted', 'neighbours': 18}. Best is trial 22 with value: 0.5418694070168476.
Trial 25 finished with value: 2.049143001448263 and parameters: {'weight_generation': 'grid', 'decomposition': 'tchebycheff', 'neighbours': 16}. Best is trial 22 with value: 0.5418694070168476.
Trial 31 finished with value: 1.7430861734242575 and parameters: {'weight_generation': 'random', 'decomposition': 'weighted', 'neighbours': 19}. Best is trial 22 with value: 0.5418694070168476.
