--------------------------Start  NSGA2  optimization--------------------------
A new study created in memory with name: algs_para_setting
Trial 7 finished with best value: 0.6390993363287655 and parameters: {'crossover_prob': 0.9575593971029379, 'crossover_eta': 8, 'mutation_prob': 0.5852023929910503, 'mutation_eta': 7, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. 
Trial 7 finished with value: 0.6390993363287655 and parameters: {'crossover_prob': 0.9575593971029379, 'crossover_eta': 8, 'mutation_prob': 0.5852023929910503, 'mutation_eta': 7, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 15 finished with value: 0.7528528248095546 and parameters: {'crossover_prob': 0.8846945786435674, 'crossover_eta': 15, 'mutation_prob': 0.928059786566918, 'mutation_eta': 11, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 6 finished with value: 0.6513043908535574 and parameters: {'crossover_prob': 0.8085479614721515, 'crossover_eta': 12, 'mutation_prob': 0.6154858250553438, 'mutation_eta': 15, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 11 finished with value: 0.6792341281695871 and parameters: {'crossover_prob': 0.9052489885203219, 'crossover_eta': 26, 'mutation_prob': 0.2689817586285572, 'mutation_eta': 28, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 8 finished with value: 0.7180859201103567 and parameters: {'crossover_prob': 0.7469219503967924, 'crossover_eta': 27, 'mutation_prob': 0.6568958626698682, 'mutation_eta': 15, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 13 finished with value: 0.6792286987435789 and parameters: {'crossover_prob': 0.7489886832762308, 'crossover_eta': 10, 'mutation_prob': 0.7545562177932869, 'mutation_eta': 29, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 9 finished with value: 0.6705002540513705 and parameters: {'crossover_prob': 0.7185693350133728, 'crossover_eta': 25, 'mutation_prob': 0.5486921462246357, 'mutation_eta': 18, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
 Trial 14 finished with value: 0.8563535628110504 and parameters: {'crossover_prob': 0.4656758624469246, 'crossover_eta': 5, 'mutation_prob': 0.6714248170477388, 'mutation_eta': 12, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 0 finished with value: 1.228263143186219 and parameters: {'crossover_prob': 0.20781489113215235, 'crossover_eta': 6, 'mutation_prob': 0.9116132884800483, 'mutation_eta': 28, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 5 finished with value: 0.6971480454821677 and parameters: {'crossover_prob': 0.5139724525669138, 'crossover_eta': 27, 'mutation_prob': 0.16125090065032988, 'mutation_eta': 18, 'sampling': 'FloatRandomSampling', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 12 finished with value: 0.8159139740141379 and parameters: {'crossover_prob': 0.46489825066647417, 'crossover_eta': 27, 'mutation_prob': 0.3134376957146122, 'mutation_eta': 12, 'sampling': 'FloatRandomSampling', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 2 finished with value: 1.0118226962545898 and parameters: {'crossover_prob': 0.4872503609552018, 'crossover_eta': 28, 'mutation_prob': 0.26649025112925195, 'mutation_eta': 23, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 3 finished with value: 1.3249328584653746 and parameters: {'crossover_prob': 0.16419674384435612, 'crossover_eta': 10, 'mutation_prob': 0.7317898391537542, 'mutation_eta': 14, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 16 finished with value: 0.8133375501114843 and parameters: {'crossover_prob': 0.6948246210795642, 'crossover_eta': 27, 'mutation_prob': 0.4707782073052357, 'mutation_eta': 7, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 20 finished with value: 0.660513805196044 and parameters: {'crossover_prob': 0.9090842746108105, 'crossover_eta': 16, 'mutation_prob': 0.46819839618542947, 'mutation_eta': 5, 'sampling': 'LHS', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 17 finished with value: 0.8605748703144567 and parameters: {'crossover_prob': 0.5305836486798952, 'crossover_eta': 3, 'mutation_prob': 0.48265148824355086, 'mutation_eta': 19, 'sampling': 'LHS', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 10 finished with value: 0.9545299964939468 and parameters: {'crossover_prob': 0.3241679102453986, 'crossover_eta': 8, 'mutation_prob': 0.368945391848825, 'mutation_eta': 16, 'sampling': 'FloatRandomSampling', 'selection': 'TournamentSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 18 finished with value: 0.7296408218620415 and parameters: {'crossover_prob': 0.5547334297737709, 'crossover_eta': 16, 'mutation_prob': 0.20374245263066793, 'mutation_eta': 8, 'sampling': 'FloatRandomSampling', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
Trial 1 finished with value: 1.241526400181063 and parameters: {'crossover_prob': 0.15558807474968062, 'crossover_eta': 21, 'mutation_prob': 0.4501580061239896, 'mutation_eta': 10, 'sampling': 'FloatRandomSampling', 'selection': 'RandomSelection'}. Best is trial 7 with value: 0.6390993363287655.
